time	expire_status	product_name	long_desc	price	regular_price	volume
2015/6/26 10:9:59	1	"雅漾（Avene）舒护活泉喷雾300ml"	"雅漾舒护活泉喷雾，面部红血丝带来无比温和的呵护"	99	185	"11390"
2015/6/26 10:9:59	1	"谜尚水分精华气垫BB霜"	"谜尚（MISSHA） 水分精华气垫BB霜，“妆”出３Ｄ光感美肌！"	79	149	"6323"
2015/6/26 10:9:59	1	"RMK液状粉霜30ml SPF14 PA++"	"RMK液状粉霜30ml SPF14 PA++，缔造零负担粉底效果。"	119	398	"1110"
2015/6/26 10:9:59	1	"Itsskin晶钻蜗牛面霜60ml"	"2014国际化妆品金奖获得者！It‘sskin晶钻蜗牛面霜，28天全面修护！"	279	479	"465"
2015/6/26 10:9:59	1	"it&#039;s skin晶钻完美蜗牛修护精华"	"没毛孔才有资格谈颜值！复购率TOP1	219	429	"271"
2015/6/26 10:9:59	1	"it&#039;s skin蜗牛旅行6件套"	"It&#039;s skin蜗牛6件套 ，史上最强全明星爆款组合	69	149	"814"
2015/6/26 10:9:59	1	"浪凡玫瑰传说淡香精30ml"	"优雅，正在蔓延！浪凡（LANVIN）玫瑰传说淡香精30ml，玫瑰人生，传奇女人！"	79	458	"700"
2015/6/26 10:9:59	1	"Itsskin能量10精华液"	"【奔跑吧！肌肤】韩国It&#039;s skin能量10精华原液，肌肤美丽，能量领跑！"	59	88	"629"
2015/6/26 10:9:59	1	"HABA润白柔肤水"	"HABA润白柔肤水，暗淡无光泽的肌肤，有显著的改善效果。"	119	249	"291"
2015/6/26 10:9:59	1	"拉斐尔水库补水面膜贴10片*2盒"	"拉斐尔（LAFFAIR）水库补水面膜贴10片*2盒，肌肤弹润Q滑，给你惊艳触感。"	39	78	"710"
2015/6/26 10:9:59	1	"ItsSkin晶钻蜗牛洁面泡沫"	"开创韩国空瓶分享NO.1的Its skin晶钻蜗牛洗面奶，洗去脸部脏乱差！"	99	139	"179"
2015/6/26 10:9:59	1	"熊野油脂马油+山茶花油护发素"	"洗发不难，护发难！脸部滋养神物--马油，首登护发大咖，好发质因油而生！"	59	115	"288"
2015/6/26 10:9:59	1	"水宝宝水嫩快干防晒喷雾SPF30+"	"水宝宝水嫩快干防晒喷雾SPF30+ 6oz，让幼嫩的肌肤可以尽情享受夏日阳光。"	99	109	"140"
2015/6/26 10:9:59	1	"lilicoco热感按摩啫喱150g"	"15天轻松瘦！Lilicoco纯中药瘦身啫喱150g，安全速瘦不是梦！"	59	175	"203"
2015/6/26 10:9:59	1	"资生堂Fino渗透护发膜"	"日本最人气“治愈性”修护发膜，从此告别“枯草妹”，让你的头发一顺到底！"	59	99	"141"
2015/6/26 10:9:59	1	"熊野油脂马油滋润无硅洗发水"	"马油正流行，护发也风行！拒绝假顺滑！马油洗发水，日本护发新秘笈！"	59	115	"131"
2015/6/26 10:9:59	1	"宠爱之名亮白净化无瑕裸妆霜50ml"	"宠爱之名(FORBELOVEDONE)亮白净化无瑕裸妆霜50ml，打造纯净完美妆效！"	99	280	"74"
2015/6/26 10:9:59	1	"倩碧 (Clinique)卓越润肤乳30ml"	"倩碧 (Clinique)卓越润肤乳30ml，Q弹肌肤此刻绽放！"	39.9	69	"156"
2015/6/26 10:9:59	1	"SHAKU熊野笔去黑头毛孔清洁刷"	"祛顽固黑头，你只差一笔之遥。SHAKU熊野巨匠鼻专用洗鼻软毛刷。"	109	185	"53"
2015/6/26 10:9:59	1	"ORIHIRO NIGHT DIET果蔬新谷酵素"	"吃了晚饭也能控制体重，来自日本的酵素分解多余热量享受美食不再受体重牵绊"	149	199	"41"
2015/6/26 10:9:59	1	"ZOOMREAL KIT2 专业牙齿美白剂"	"韩国专业牙齿美白剂，不用忍受洗牙痛苦，在家就能轻松完成医学级牙齿美白。"	119	189	"30"
